race_id,ticket_type,combination,payout,source
202311010601,単勝,1,250,dummy
202311010601,複勝,1,110,dummy
202311010601,複勝,2,140,dummy
202311010601,複勝,3,170,dummy
202311010601,馬連,1-2,450,dummy
202311020602,単勝,2,390,dummy
202311020602,複勝,2,120,dummy
202311020602,複勝,3,150,dummy
202311020602,複勝,4,180,dummy
202311020602,馬連,2-3,530,dummy
202311030603,単勝,3,530,dummy
202311030603,複勝,3,130,dummy
202311030603,複勝,4,160,dummy
202311030603,複勝,5,190,dummy
202311030603,馬連,3-4,610,dummy
202311040604,単勝,4,670,dummy
202311040604,複勝,4,140,dummy
202311040604,複勝,5,170,dummy
202311040604,複勝,6,200,dummy
202311040604,馬連,4-5,690,dummy
202311050605,単勝,5,250,dummy
202311050605,複勝,5,110,dummy
202311050605,複勝,6,140,dummy
202311050605,複勝,7,170,dummy
202311050605,馬連,5-6,770,dummy
202311060606,単勝,6,390,dummy
202311060606,複勝,6,120,dummy
202311060606,複勝,7,150,dummy
202311060606,複勝,8,180,dummy
202311060606,馬連,6-7,850,dummy
202311070607,単勝,7,530,dummy
202311070607,複勝,7,130,dummy
202311070607,複勝,8,160,dummy
202311070607,複勝,1,190,dummy
202311070607,馬連,7-8,930,dummy
202311080608,単勝,8,670,dummy
202311080608,複勝,8,140,dummy
202311080608,複勝,1,170,dummy
202311080608,複勝,2,200,dummy
202311080608,馬連,8-1,1010,dummy
202311090609,単勝,1,250,dummy
202311090609,複勝,1,110,dummy
202311090609,複勝,2,140,dummy
202311090609,複勝,3,170,dummy
202311090609,馬連,1-2,1090,dummy
202311100610,単勝,2,390,dummy
202311100610,複勝,2,120,dummy
202311100610,複勝,3,150,dummy
202311100610,複勝,4,180,dummy
202311100610,馬連,2-3,1170,dummy
202311110611,単勝,3,530,dummy
202311110611,複勝,3,130,dummy
202311110611,複勝,4,160,dummy
202311110611,複勝,5,190,dummy
202311110611,馬連,3-4,450,dummy
202311120612,単勝,4,670,dummy
202311120612,複勝,4,140,dummy
202311120612,複勝,5,170,dummy
202311120612,複勝,6,200,dummy
202311120612,馬連,4-5,530,dummy
202311130601,単勝,5,250,dummy
202311130601,複勝,5,110,dummy
202311130601,複勝,6,140,dummy
202311130601,複勝,7,170,dummy
202311130601,馬連,5-6,610,dummy
202311140602,単勝,6,390,dummy
202311140602,複勝,6,120,dummy
202311140602,複勝,7,150,dummy
202311140602,複勝,8,180,dummy
202311140602,馬連,6-7,690,dummy
202311150603,単勝,7,530,dummy
202311150603,複勝,7,130,dummy
202311150603,複勝,8,160,dummy
202311150603,複勝,1,190,dummy
202311150603,馬連,7-8,770,dummy
202311160604,単勝,8,670,dummy
202311160604,複勝,8,140,dummy
202311160604,複勝,1,170,dummy
202311160604,複勝,2,200,dummy
202311160604,馬連,8-1,850,dummy
202311170605,単勝,1,250,dummy
202311170605,複勝,1,110,dummy
202311170605,複勝,2,140,dummy
202311170605,複勝,3,170,dummy
202311170605,馬連,1-2,930,dummy
202311180606,単勝,2,390,dummy
202311180606,複勝,2,120,dummy
202311180606,複勝,3,150,dummy
202311180606,複勝,4,180,dummy
202311180606,馬連,2-3,1010,dummy
202311190607,単勝,3,530,dummy
202311190607,複勝,3,130,dummy
202311190607,複勝,4,160,dummy
202311190607,複勝,5,190,dummy
202311190607,馬連,3-4,1090,dummy
202311200608,単勝,4,670,dummy
202311200608,複勝,4,140,dummy
202311200608,複勝,5,170,dummy
202311200608,複勝,6,200,dummy
202311200608,馬連,4-5,1170,dummy
202311210609,単勝,5,250,dummy
202311210609,複勝,5,110,dummy
202311210609,複勝,6,140,dummy
202311210609,複勝,7,170,dummy
202311210609,馬連,5-6,450,dummy
202311220610,単勝,6,390,dummy
202311220610,複勝,6,120,dummy
202311220610,複勝,7,150,dummy
202311220610,複勝,8,180,dummy
202311220610,馬連,6-7,530,dummy
202311230611,単勝,7,530,dummy
202311230611,複勝,7,130,dummy
202311230611,複勝,8,160,dummy
202311230611,複勝,1,190,dummy
202311230611,馬連,7-8,610,dummy
202311240612,単勝,8,670,dummy
202311240612,複勝,8,140,dummy
202311240612,複勝,1,170,dummy
202311240612,複勝,2,200,dummy
202311240612,馬連,8-1,690,dummy
202311250601,単勝,1,250,dummy
202311250601,複勝,1,110,dummy
202311250601,複勝,2,140,dummy
202311250601,複勝,3,170,dummy
202311250601,馬連,1-2,770,dummy
202311260602,単勝,2,390,dummy
202311260602,複勝,2,120,dummy
202311260602,複勝,3,150,dummy
202311260602,複勝,4,180,dummy
202311260602,馬連,2-3,850,dummy
202311270603,単勝,3,530,dummy
202311270603,複勝,3,130,dummy
202311270603,複勝,4,160,dummy
202311270603,複勝,5,190,dummy
202311270603,馬連,3-4,930,dummy
202311280604,単勝,4,670,dummy
202311280604,複勝,4,140,dummy
202311280604,複勝,5,170,dummy
202311280604,複勝,6,200,dummy
202311280604,馬連,4-5,1010,dummy
202311290605,単勝,5,250,dummy
202311290605,複勝,5,110,dummy
202311290605,複勝,6,140,dummy
202311290605,複勝,7,170,dummy
202311290605,馬連,5-6,1090,dummy
202311300606,単勝,6,390,dummy
202311300606,複勝,6,120,dummy
202311300606,複勝,7,150,dummy
202311300606,複勝,8,180,dummy
202311300606,馬連,6-7,1170,dummy
202312010607,単勝,7,530,dummy
202312010607,複勝,7,130,dummy
202312010607,複勝,8,160,dummy
202312010607,複勝,1,190,dummy
202312010607,馬連,7-8,450,dummy
202312020608,単勝,8,670,dummy
202312020608,複勝,8,140,dummy
202312020608,複勝,1,170,dummy
202312020608,複勝,2,200,dummy
202312020608,馬連,8-1,530,dummy
202312030609,単勝,1,250,dummy
202312030609,複勝,1,110,dummy
202312030609,複勝,2,140,dummy
202312030609,複勝,3,170,dummy
202312030609,馬連,1-2,610,dummy
202312040610,単勝,2,390,dummy
202312040610,複勝,2,120,dummy
202312040610,複勝,3,150,dummy
202312040610,複勝,4,180,dummy
202312040610,馬連,2-3,690,dummy
202312050611,単勝,3,530,dummy
202312050611,複勝,3,130,dummy
202312050611,複勝,4,160,dummy
202312050611,複勝,5,190,dummy
202312050611,馬連,3-4,770,dummy
202312060612,単勝,4,670,dummy
202312060612,複勝,4,140,dummy
202312060612,複勝,5,170,dummy
202312060612,複勝,6,200,dummy
202312060612,馬連,4-5,850,dummy
202312070601,単勝,5,250,dummy
202312070601,複勝,5,110,dummy
202312070601,複勝,6,140,dummy
202312070601,複勝,7,170,dummy
202312070601,馬連,5-6,930,dummy
202312080602,単勝,6,390,dummy
202312080602,複勝,6,120,dummy
202312080602,複勝,7,150,dummy
202312080602,複勝,8,180,dummy
202312080602,馬連,6-7,1010,dummy
202312090603,単勝,7,530,dummy
202312090603,複勝,7,130,dummy
202312090603,複勝,8,160,dummy
202312090603,複勝,1,190,dummy
202312090603,馬連,7-8,1090,dummy
202312100604,単勝,8,670,dummy
202312100604,複勝,8,140,dummy
202312100604,複勝,1,170,dummy
202312100604,複勝,2,200,dummy
202312100604,馬連,8-1,1170,dummy
