race_id,race_date,course,race_no,race_name,surface,distance,direction,weather,ground_condition,race_class,race_grade,age_condition,sex_condition,field_size,start_time,source
202311010601,2023-11-01,中山,1,ダミー確定01,ダート,1200,右,晴,良,1勝クラス,,3歳以上,混合,8,10:05,dummy
202311020602,2023-11-02,阪神,2,ダミー確定02,芝,1400,右,曇,稍重,2勝クラス,,3歳以上,混合,8,10:35,dummy
202311030603,2023-11-03,東京,3,ダミー確定03,ダート,1600,左,雨,重,3勝クラス,,3歳以上,混合,8,11:05,dummy
202311040604,2023-11-04,京都,4,ダミー確定04,芝,1800,右外,晴,良,オープン,,3歳以上,混合,8,11:35,dummy
202311050605,2023-11-05,中京,5,ダミー確定05,ダート,2000,左,曇,稍重,1勝クラス,,3歳以上,混合,8,12:05,dummy
202311060606,2023-11-06,中山,6,ダミー確定06,芝,1200,右外,雨,重,2勝クラス,,3歳以上,混合,8,12:35,dummy
202311070607,2023-11-07,阪神,7,ダミー確定07,ダート,1400,右,晴,良,3勝クラス,,3歳以上,混合,8,13:05,dummy
202311080608,2023-11-08,東京,8,ダミー確定08,芝,1600,左,曇,稍重,オープン,,3歳以上,混合,8,13:35,dummy
202311090609,2023-11-09,京都,9,ダミー確定09,ダート,1800,右,雨,重,1勝クラス,,3歳以上,混合,8,14:05,dummy
202311100610,2023-11-10,中京,10,ダミー確定10,芝,2000,左,晴,良,2勝クラス,,3歳以上,混合,8,14:35,dummy
202311110611,2023-11-11,中山,11,ダミー確定11,ダート,1200,右,曇,稍重,3勝クラス,,3歳以上,混合,8,15:05,dummy
202311120612,2023-11-12,阪神,12,ダミー確定12,芝,1400,右,雨,重,オープン,,3歳以上,混合,8,15:35,dummy
202311130601,2023-11-13,東京,1,ダミー確定13,ダート,1600,左,晴,良,1勝クラス,,3歳以上,混合,8,10:05,dummy
202311140602,2023-11-14,京都,2,ダミー確定14,芝,1800,右外,曇,稍重,2勝クラス,,3歳以上,混合,8,10:35,dummy
202311150603,2023-11-15,中京,3,ダミー確定15,ダート,2000,左,雨,重,3勝クラス,,3歳以上,混合,8,11:05,dummy
202311160604,2023-11-16,中山,4,ダミー確定16,芝,1200,右外,晴,良,オープン,,3歳以上,混合,8,11:35,dummy
202311170605,2023-11-17,阪神,5,ダミー確定17,ダート,1400,右,曇,稍重,1勝クラス,,3歳以上,混合,8,12:05,dummy
202311180606,2023-11-18,東京,6,ダミー確定18,芝,1600,左,雨,重,2勝クラス,,3歳以上,混合,8,12:35,dummy
202311190607,2023-11-19,京都,7,ダミー確定19,ダート,1800,右,晴,良,3勝クラス,,3歳以上,混合,8,13:05,dummy
