race_id,horse_id,finish_position,finish_time,margin,corner_order,last_3f,source
202311010601,H000001,1,1:11.1,,1-2,35.8,dummy
202311010601,H000002,2,1:11.2,1 1/4,2-3,36.0,dummy
202311010601,H000003,3,1:11.3,2,3-4,36.2,dummy
202311010601,H000004,4,1:11.4,2 1/2,4-5,36.5,dummy
202311010601,H000005,5,1:11.5,1/2,5-6,36.8,dummy
202311010601,H000006,6,1:11.6,1,6-7,37.0,dummy
202311010601,H000007,7,1:11.7,1 1/4,7-8,37.2,dummy
202311010601,H000008,8,1:11.8,2,8-8,37.5,dummy
202311020602,H000001,8,1:12.8,2,8-8,37.6,dummy
202311020602,H000002,1,1:12.1,,1-2,35.9,dummy
202311020602,H000003,2,1:12.2,1 1/4,2-3,36.1,dummy
202311020602,H000004,3,1:12.3,2,3-4,36.4,dummy
202311020602,H000005,4,1:12.4,2 1/2,4-5,36.6,dummy
202311020602,H000006,5,1:12.5,1/2,5-6,36.9,dummy
202311020602,H000007,6,1:12.6,1,6-7,37.1,dummy
202311020602,H000008,7,1:12.7,1 1/4,7-8,37.4,dummy
202311030603,H000001,7,1:13.7,1 1/4,7-8,37.5,dummy
202311030603,H000002,8,1:13.8,2,8-8,37.7,dummy
202311030603,H000003,1,1:13.1,,1-2,36.0,dummy
202311030603,H000004,2,1:13.2,1 1/4,2-3,36.2,dummy
202311030603,H000005,3,1:13.3,2,3-4,36.5,dummy
202311030603,H000006,4,1:13.4,2 1/2,4-5,36.7,dummy
202311030603,H000007,5,1:13.5,1/2,5-6,37.0,dummy
202311030603,H000008,6,1:13.6,1,6-7,37.2,dummy
202311040604,H000001,6,1:14.6,1,6-7,37.3,dummy
202311040604,H000002,7,1:14.7,1 1/4,7-8,37.5,dummy
202311040604,H000003,8,1:14.8,2,8-8,37.8,dummy
202311040604,H000004,1,1:14.1,,1-2,36.0,dummy
202311040604,H000005,2,1:14.2,1 1/4,2-3,36.3,dummy
202311040604,H000006,3,1:14.3,2,3-4,36.5,dummy
202311040604,H000007,4,1:14.4,2 1/2,4-5,36.8,dummy
202311040604,H000008,5,1:14.5,1/2,5-6,37.0,dummy
202311050605,H000001,5,1:15.5,1/2,5-6,36.8,dummy
202311050605,H000002,6,1:15.6,1,6-7,37.0,dummy
202311050605,H000003,7,1:15.7,1 1/4,7-8,37.2,dummy
